id,tire,tpop,ngrw,pgrw,octy,opop,landv,eld,ffrac,pinc,lnhdd
300011,0,.62,-.043000001,0,.018999999,.027489999,.11,.15175097,.73900002,5.1020002,8.883502
300015,2,1.693,-.17,0,.252,.08247,.234,.13066317,.94400001,6.684,8.9575109
300017,4,9.6020002,0,.579,.235,.37513,.113,.13227554,.94099998,6.5139999,8.883502
300019,1,1.382,-.104,0,.044,.058119997,.25600001,.1601411,.92500001,6.006,8.883502
300025,1,2.3540001,-.23,0,.064000003,.063620001,.14399999,.10496944,.85500002,6.5890002,8.883502
300027,4,7.1040001,0,.667,.15899999,.41870999,.18799999,.16167024,.77899998,5.6389999,8.9575109
300033,0,.48500001,-.044,0,.046,.016489999,.102,.10869565,.72000003,5.4990001,8.883502
300037,0,.273,0,.012,.052999999,.034560002,.145,.14327486,.86699998,4.4749999,8.883502
300039,1,1.138,0,.0099999998,.079999998,.067539997,.23899999,.14296296,.31400001,5.8449998,8.9668665
300051,2,.963,0,.027000001,.027000001,.05184,.244,.11249463,.98500001,6.8969998,8.9575109
300055,2,.93099999,-.033,0,.085000001,.050269999,.164,.10288675,.801,4.7459998,8.883502
300057,2,.66000003,0,.15899999,.186,.05105,.241,.16391337,.48199999,5.585,9.1708717
300059,0,1.302,0,.102,.039999999,.03613,.126,.12906221,.653,5.8540001,8.9575109
300061,2,1.054,0,.061000001,.12800001,.1288,.68599999,.09088435,.026000001,5.9530001,8.9668665
300065,2,2.119,0,.003,.21799999,.096599996,.14300001,.15718158,.94499999,5.3470001,8.883502
300069,0,.207,-.064000003,0,.02,.02121,.090000004,.10076336,.66900003,5.5019999,8.883502
300071,1,2.3670001,0,.17200001,.105,.043979999,.125,.1367617,.62300003,5.1589999,8.9575109
300079,0,.92900002,0,.059,.059999999,.029059999,.133,.17864923,.64099997,4.2880001,8.883502
300085,0,3.0739999,-.021,0,.22,.80157,.19,.10127066,.972,5.7410002,8.883502
300086,1,.88700002,0,.066,.22,.80157,.19,.10127066,.972,5.7410002,8.883502
300087,1,2.553,0,.68000001,.046,.1123,.106,.059197899,.95200002,6.1799998,8.883502
300091,2,2.4760001,0,.094999999,.085000001,.121,.228,.15441447,.99900001,6.7789998,8.883502
300097,0,1.6900001,0,.097999997,.079999998,.060479999,.15099999,.18905473,.69999999,5.6890001,8.883502
300105,6,4.4549999,-.245,0,.164,.78075999,.177,.11307317,.66900003,6.1869998,8.883502
300107,1,1.181,-.19400001,0,.023,.06205,.12899999,.15472658,.92900002,5.6360002,8.883502
310005,0,.124,-.050999999,0,.017000001,.043200001,.114,.14814815,1.166,6.598,8.7767839
310015,1,.52899998,-.046,0,.108,.52469999,.273,.22125489,.85100001,4.5419998,8.7767839
310033,6,6.0100002,-.39300001,0,.27599999,1.11048,.33000001,.15581188,1.049,6.8049998,8.7767839
310041,2,3.9790001,0,.245,.31099999,1.24928,.336,.1963681,.93599999,6.0250001,8.7767839
310045,3,5.9330001,0,.012,.42199999,.53092998,.193,.14611302,.83600003,6.0310001,8.7767839
310057,0,1.235,-.114,0,.083999999,.1257,.31400001,.20727019,.92199999,6.0609999,8.7767839
310069,1,1.057,-.0099999998,0,.072999999,.057330001,.20100001,.22091363,.93699998,6.5710001,8.7767839
310091,0,.72000003,0,.052999999,.024,.01963,.096000001,.19191919,.71499997,4.9689999,8.7767839
310095,1,4.8850002,-.38,0,.461,2.08777,.91000003,.20627482,.898,6.3189998,8.6939993
310101,2,5.638,0,.662,.273,.23089999,.442,.13615976,1.041,6.723,8.7767839
310105,3,3.1199999,-.56,0,.164,.073040001,.25799999,.13867268,.91900003,6.5440001,8.7767839
320007,4,1.2180001,0,.13699999,.25099999,.15379,.112,.089350857,.26699999,7.263,8.7045021
320008,6,8.7580004,0,1.137,.25099999,.10379,.112,.089350857,.26699999,7.263,8.7045021
320011,0,.5,-.046999998,0,.055,.013350001,.20299999,.066777967,.112,5.8130002,8.7045021
320013,4,4.1399999,0,.55299997,.192,.04163,.234,.073881708,.16,6.8759999,8.7045021
320015,2,2.7490001,0,.89300001,.033,.018059999,.106,.05323847,.167,7.2540002,8.7045021
320017,0,.69999999,0,.059,.059,.05728,.44100001,.12808146,.0080000004,5.5819998,7.8367648
320021,1,3.7409999,0,.20200001,.089000002,.05184,.35600001,.10760817,.13600001,6.1529999,8.6597338
320023,4,1.952,0,.236,.32100001,.03142,.242,.090406723,.035,7.1690001,7.8367648
320027,3,1.6799999,0,.109,.147,.021989999,.15700001,.11443662,.163,6.5910001,8.7045021
320033,2,4.882,0,.70599997,.14300001,.14475,.219,.12048488,.044,7.079,8.7045021
350003,0,.43900001,0,.085000001,.046,.021989999,.092,.13529412,.34299999,4.6950002,8.3925362
350005,10,39.675999,0,5.7680001,.78200001,.47573,.12800001,.14114632,.79900002,5.8280001,8.0475092
350011,0,1.421,-.19400001,0,.068000004,.034560002,.079000004,.21026894,.88599998,5.1869998,8.0475092
350013,13,45.085999,0,7.2290001,3.1129999,4.4661403,.648,.072067678,.17,5.2839999,8.0258436
350015,4,10.385,0,.07,.611,.99823999,.23800001,.12531605,.324,6.0570002,7.9490914
350019,5,2.4690001,-.016000001,0,.059999999,.2393,.090000004,.1216637,.90700001,3.8499999,8.7620201
350021,0,.38100001,-.094999999,0,.033,.033769999,.088,.17522936,.95300001,5.2670002,7.6381984
350023,2,3.1949999,-.234,0,.22499999,.065190002,.14300001,.0927426,.75,5.2420001,8.0258436
350029,9,9.9639997,0,1.6210001,.237,.54109997,.152,.16843118,.52200001,4.79,8.0258436
350031,12,18.160999,0,3.5650001,1.3049999,1.7027299,.072999999,.049212564,.935,4.1960001,8.3925362
350037,9,6.7649999,-.42399999,0,.132,.23675999,.119,.15656613,.98199999,5.5609999,7.6381984
350051,3,5.2189999,0,.56300002,.054000001,.1397,.097000003,.29500827,.528,4.6370001,8.0258436
350053,7,7.5760002,0,2.8889999,.155,.34893,.117,.088492759,.44800001,4.4689999,8.3925362
350059,2,2.9679999,0,.037,.044,.205,.125,.17206348,.93300003,5.9569998,8.7620201
360041,0,1.159,0,.046999998,.39500001,.14839999,1.635,.16626936,0,5.4689999,8.9049015
370095,1,.60000002,0,.1,.28099999,.3536,.93900001,.15085986,.237,4.2950001,8.0811653
370177,0,.75800002,-.14399999,0,.354,.26429999,.89899999,.15018868,.226,4.1389999,8.0811653
380011,3,2.0710001,0,.30899999,.112,.1052,.2,.13502009,.99699998,6.1950002,9.1132784
380019,2,2.335,0,.153,.227,.26389998,.48500001,.17050812,.95499998,6.1069999,9.198369
380023,2,1.469,-.075999998,0,.11,.1013,.25799999,.20177448,.89200002,6.2350001,9.1500597
380029,2,1.561,-.134,0,.13,.17989999,.25299999,.15518121,.90700001,4.6919999,9.1132784
380033,2,1.381,-.027000001,0,.064999998,.07147,.2,.16143873,.82800001,6.2389998,9.1132784
380057,6,5.2729998,0,2.6889999,.266,.1045,.243,.10219055,.824,7.0710001,9.1132784
380069,3,3.335,0,.44600001,.15000001,.19239999,.28099999,.18066818,.90399998,5.2789998,9.1500597
380075,1,1.049,0,.098999999,.20299999,.16339999,.34400001,.17405765,.95499998,5.73,9.1500597
380083,0,.65799999,-.0060000001,0,.177,.16960001,.27500001,.16211422,.87699997,4.9359999,9.1132784
380085,1,.77100003,-.382,0,.046999998,.1838,.127,.054143645,.97100002,3.642,9.1132784
380095,3,1.4960001,-.016000001,0,.11,.18689999,.40599999,.19792695,.94800001,6.2119999,9.1500597
380103,5,2.527,0,.16599999,.199,.2419,.37599999,.20246454,.977,5.52,9.1132784
400007,2,1.939,0,.086000003,.55800003,.1806,.25600001,.14325595,.95599997,7.2589998,8.2332373
400025,3,1.761,-.23199999,0,.068999998,.30939999,.199,.15323465,.90700001,6.138,8.2332373
400045,2,1.7589999,0,.213,.43599999,.1107,.30700001,.18656182,.89300001,6.8169999,8.2332373
410049,1,1.498,0,.068999998,.43700001,.22230001,.28600001,.093230486,.88300002,7.1479998,8.4534006
410063,1,2.003,0,.32300001,.052000001,.10919999,.273,.14849444,.384,6.277,8.4534006
